bce_losses=0.12340, contrast_losses=0.10724, similar_losses=0.00010, loss=0.11959

epoch=43, train_top1=0.5535, train_top5=0.8290, lr=0.001853
bce_losses=0.12349, contrast_losses=0.10415, similar_losses=0.00010, loss=0.11651

epoch=44, train_top1=0.5510, train_top5=0.8285, lr=0.001654
bce_losses=0.12368, contrast_losses=0.10461, similar_losses=0.00010, loss=0.11699

epoch=45, train_top1=0.5622, train_top5=0.8330, lr=0.001464
bce_losses=0.12357, contrast_losses=0.10227, similar_losses=0.00010, loss=0.11464

epoch=46, train_top1=0.5726, train_top5=0.8461, lr=0.001284
bce_losses=0.12334, contrast_losses=0.09897, similar_losses=0.00010, loss=0.11131

epoch=47, train_top1=0.5743, train_top5=0.8473, lr=0.001114
bce_losses=0.12341, contrast_losses=0.09895, similar_losses=0.00010, loss=0.11130

epoch=48, train_top1=0.5852, train_top5=0.8442, lr=0.000955
bce_losses=0.12333, contrast_losses=0.09640, similar_losses=0.00009, loss=0.10875

epoch=49, train_top1=0.5768, train_top5=0.8388, lr=0.000807
bce_losses=0.12358, contrast_losses=0.09728, similar_losses=0.00009, loss=0.10965

epoch=50, train_top1=0.5886, train_top5=0.8467, lr=0.000670
bce_losses=0.12334, contrast_losses=0.09563, similar_losses=0.00009, loss=0.10797

epoch=51, train_top1=0.5838, train_top5=0.8487, lr=0.000545
bce_losses=0.12360, contrast_losses=0.09704, similar_losses=0.00009, loss=0.10940

epoch=52, train_top1=0.5866, train_top5=0.8529, lr=0.000432
bce_losses=0.12344, contrast_losses=0.09446, similar_losses=0.00009, loss=0.10681

epoch=53, train_top1=0.5874, train_top5=0.8545, lr=0.000332
bce_losses=0.12340, contrast_losses=0.09275, similar_losses=0.00009, loss=0.10510

epoch=54, train_top1=0.5900, train_top5=0.8531, lr=0.000245
bce_losses=0.12351, contrast_losses=0.09402, similar_losses=0.00009, loss=0.10638

epoch=55, train_top1=0.5852, train_top5=0.8509, lr=0.000170
bce_losses=0.12361, contrast_losses=0.09392, similar_losses=0.00009, loss=0.10629

epoch=56, train_top1=0.5967, train_top5=0.8540, lr=0.000109
bce_losses=0.12341, contrast_losses=0.09336, similar_losses=0.00009, loss=0.10571

epoch=57, train_top1=0.5858, train_top5=0.8568, lr=0.000062
bce_losses=0.12340, contrast_losses=0.09322, similar_losses=0.00009, loss=0.10557

epoch=58, train_top1=0.5886, train_top5=0.8498, lr=0.000027
bce_losses=0.12353, contrast_losses=0.09350, similar_losses=0.00009, loss=0.10586

epoch=59, train_top1=0.6023, train_top5=0.8509, lr=0.000007
bce_losses=0.12339, contrast_losses=0.09268, similar_losses=0.00009, loss=0.10503

epoch=60, train_top1=0.5802, train_top5=0.8453, lr=0.000000
bce_losses=0.12368, contrast_losses=0.09484, similar_losses=0.00009, loss=0.10721

